DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
CalleSilva_25,Calle,Silva,25,CENTRO,440134.5,4474823.78,SABADO_TARDE_17:30_19:00,"Calle Silva, 25"
CalleGeneralDiazPorlier_41,Calle,General Díaz Porlier,41,SALAMANCA,442571.45,4475523.9,SABADO_TARDE_17:30_19:00,"Calle General Díaz Porlier, 41"
CalleVillanueva_20InterseccionconCalleClaudioCoello,Calle,Villanueva,20,SALAMANCA,441714.67,4474870.03,SABADO_TARDE_19:15_20:45,"Calle Villanueva, 20"
CalleEstrellaPolar_22,Calle,Estrella Polar,22,RETIRO,443476.57,4473573.2,LUNES_MAÑANA_7:00_8:30,"Calle Estrella Polar, 22"
CalleJeronimaLlorente_65,Calle,Jerónima Llorente,65,TETUAN,439955.62,4478314.84,LUNES_MAÑANA_7:00_8:30,"Calle Jerónima Llorente, 65"
CallePinardeSanJose_13,Calle,Pinar de San José,13,CARABANCHEL,435295.3,4468443.89,LUNES_MAÑANA_7:00_8:30,"Calle Pinar de San José, 13"
PaseoLanceros_2,Paseo,Lanceros,2,LATINA,432694.46,4470136.92,LUNES_MAÑANA_7:00_8:30,"Paseo Lanceros, 2"
PlazaElPardo_1InterseccionconCalleCarboneros,Plaza,El Pardo,1,FUENCARRAL,434134.78,4485795.22,LUNES_MAÑANA_7:00_8:30,"Plaza El Pardo, 1"
AvenidaMenendezPelayo_Frentealnumero29_enlaaceradeElRetiro,Avenida,Menéndez Pelayo,,RETIRO,442393.46,4474445.91,LUNES_MAÑANA_8:45_10:15,"Avenida Menéndez Pelayo, "
CalleCerrodeMinguete_9,Calle,Cerro de Minguete,9,FUENCARRAL,439019.02,4482030.84,LUNES_MAÑANA_8:45_10:15,"Calle Cerro de Minguete, 9"
CalleFrancosRodriguez_57,Calle,Francos Rodríguez,57,TETUAN,439862.49,4478702,LUNES_MAÑANA_8:45_10:15,"Calle Francos Rodríguez, 57"
