IdBiciMad,District,same_as_wikidata_District,Neighborhood,same_as_wikidata_Neighborhood,numPlaces,longitude,latitude,PostalAddress,same_as_wikidata_PostalAddress
58,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6979458,40.4222601,"Calle de Augusto Figueroa, Madrid",https://wikidata.org/entity/Q29564346
59,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,21,-3.7041167,40.4254802,"Calle del Espíritu Santo, Madrid",https://wikidata.org/entity/Q5740833
60,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,24,-3.6881994,40.4194508,Plaza de la Independencia,https://wikidata.org/entity/Q88576196
61,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,24,-3.675206,40.4214379,"Calle de O'Donnell, Madrid",https://wikidata.org/entity/Q5740859
62,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,24,-3.6724223,40.4212986,"Calle de O'Donnell, Madrid",https://wikidata.org/entity/Q5740859
63,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,24,-3.6706508,40.4178926,"Calle de Ibiza, Madrid",https://wikidata.org/entity/Q63247838
65,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,24,-3.6893825,40.4166859,"Calle de Antonio Maura, Madrid",https://wikidata.org/entity/Q29566726
67,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,24,-3.6931349,40.410829,CALLE ALMADEN,
68,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,21,-3.6911649,40.412781,CALLE ESPALTER,
69,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,27,-3.6888669,40.4100609,Calle de Alfonso XII,https://wikidata.org/entity/Q5659170
70,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,24,-3.6777994,40.4152203,"Avenida de Menéndez Pelayo, Madrid",https://wikidata.org/entity/Q28936960
71,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,24,-3.674021,40.4160054,CALLE DOCE DE OCTUBRE,
72,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,24,-3.669623,40.415721,"Calle del Doctor Esquerdo, Madrid",https://wikidata.org/entity/Q5741005
73,Retiro,https://wikidata.org/entity/Q2002296,Estrella,https://wikidata.org/entity/Q3773738,24,-3.669099,40.411463,PLAZA LOS ASTROS,
74,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,24,-3.6765768,40.4117601,"Avenida de Menéndez Pelayo, Madrid",https://wikidata.org/entity/Q28936960
75,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,24,-3.6784149,40.4083387,"Avenida de Menéndez Pelayo, Madrid",https://wikidata.org/entity/Q28936960
76,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,24,-3.6751544,40.4072851,AVENIDA MEDITERRANEO,
77,Retiro,https://wikidata.org/entity/Q2002296,Pacífico,https://wikidata.org/entity/Q3773753,22,-3.6707742,40.4063347,PLAZA CONDE DE CASAL,
78,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,24,-3.6745783,40.4005704,CALLE CERRO DE LA PLATA,
79,Retiro,https://wikidata.org/entity/Q2002296,Pacífico,https://wikidata.org/entity/Q3773753,24,-3.6805524,40.4050482,"Avenida de Menéndez Pelayo, Madrid",https://wikidata.org/entity/Q28936960
080_a,Arganzuela,https://wikidata.org/entity/Q2000929,Atocha,https://wikidata.org/entity/Q3814594,24,-3.6904816,40.4074122,"Avenida de la Ciudad de Barcelona, Madrid",https://wikidata.org/entity/Q5714227
080_b,Arganzuela,https://wikidata.org/entity/Q2000929,Atocha,https://wikidata.org/entity/Q3814594,27,-3.6907238,40.407626,"Avenida de la Ciudad de Barcelona, Madrid",https://wikidata.org/entity/Q5714227
81,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,24,-3.6919663,40.4095758,"Cuesta de Moyano, Madrid",https://wikidata.org/entity/Q5794001
82,Retiro,https://wikidata.org/entity/Q2002296,Estrella,https://wikidata.org/entity/Q3773738,24,-3.669683,40.4084793,"Calle de Lira, Madrid",https://wikidata.org/entity/Q56167668
83,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,24,-3.6745339,40.4132589,CALLE PIO BAROJA,
84,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,24,-3.6726923,40.4033695,"Calle del Doctor Esquerdo, Madrid",https://wikidata.org/entity/Q5741005
85,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,27,-3.6799299,40.4211415,"Avenida de Menéndez Pelayo, Madrid",https://wikidata.org/entity/Q28936960
86,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,21,-3.6933298,40.4185779,Paseo del Prado,https://wikidata.org/entity/Q2079615
87,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6835631,40.4276717,"Calle de Ayala, Madrid",https://wikidata.org/entity/Q28052812
88,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,24,-3.6837471,40.4312077,calle de Velázquez,https://wikidata.org/entity/Q20031523
