Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
150558,SITUADO-APARCABICICLETAS-ESCUELA-TECNICA-SUPERIOR-DE-INGENIEROS-INDUSTRIALES-UPM,150558,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"Calle de Pedro de Valdivia, Madrid,6"
151223,SITUADO-APARCABICICLETAS-FRENTE-EDIFICIO-DE-COFIDES,151223,5,Chamartín,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,"Paseo de la Castellana,278"
154330,SITUADO-APARCABICICLETAS-I.E.S.-RAMIRO-DE-MAEZTU,154330,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"Serrano Street,131"
155190,SITUADO-APARCABICICLETAS-INSTALACION-DEPORTIVA-BASICA-SANTA-HORTENSIA,155190,5,Chamartín,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,"Calle de Santa Hortensia, Madrid,34"
155947,SITUADO-APARCABICICLETAS-FRENTE-A-IBM,155947,5,Chamartín,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,"Calle de Santa Hortensia, Madrid,31"
155979,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-PROSPERIDAD,155979,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Plaza de Prosperidad, Madrid,3"
156151,SITUADO-APARCABICICLETAS-PLAZA-DE-HERMINIO-MINGUEZ,156151,5,Chamartín,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,"CALLE CONDE DE TORRALBA,23,23"
156740,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-PINTOR-ROSALES,156740,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"calle del Príncipe de Vergara,139"
157887,SITUADO-APARCABICICLETAS-PLAZA-DE-ANDRES-SEGOVIA,157887,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Plaza de Andrés Segovia, Madrid,2"
157999,SITUADO-APARCABICICLETAS-AL-LADO-DE-LA-FUENTE-DE-LOS-DELFINES,157999,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"Avenida del Doctor Arce, Madrid,1"
158867,SITUADO-APARCABICICLETAS-CERCA-DE-ESTACION-DE-METRO-NUEVOS-MINISTERIOS,158867,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entity/Q4778,OPERATIVO,"Paseo de la Castellana,110"
159396,SITUADO-APARCABICICLETAS-PLAZA-DE-RODOLFO-Y-ERNESTO-HALFFTER,159396,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Calle de Suero de Quiñones, Madrid,32"
161602,SITUADO-APARCABICICLETAS-JARDINES-DE-PROSPERO-SOYNARD,161602,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"CALLE EUGENIO SALAZAR,55,55"
161723,SITUADO-APARCABICICLETAS-ESCUELA-DE-DANZA-BROADWAY,161723,5,Chamartín,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,"CALLE PADRE CLARET,23,23"
161936,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-MUNICIPAL-PRADILLO,161936,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"calle de Pradillo,25"
162245,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-LEGAZPI,162245,2,Arganzuela,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"Legazpi,1"
162466,SITUADO-APARCABICICLETAS-ENTRADA-PARQUE-BERLIN,162466,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"CALLE DOCTOR MARCO CORERA,2,2"
