PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
Pontevedra,36,A_Guarda,36023,O_Muino,O_Muino_-_Camposancos_(Santa_Isabel),2000,Playa_abierta,Fina,41.876444,-8.862944,http://www.turismo.gal/ficha-recurso?cod_rec=10529
Pontevedra,36,A_Illa_de_Arousa,36901,Area_da_Secada,A_Illa_de_Arousa_(San_Xulian),500,Playa_resguardada,Fina,42.567972,-8.887111,http://www.turismo.gal/ficha-recurso?cod_rec=10092
Pontevedra,36,A_Illa_de_Arousa,36901,Camaxe,A_Illa_de_Arousa,,Playa_resguardada,Gruesa,42.544389,-8.867499,http://www.turismo.gal/ficha-recurso?cod_rec=258852417
Pontevedra,36,Marin,36026,Aguete,Aguete_-_Seixo_(Nosa_Senora_do_Carme),920,Playa_resguardada,Fina,42.37386,-8.731472,http://www.turismo.gal/ficha-recurso?cod_rec=10140
Pontevedra,36,Marin,36026,Mogor,O_Monte_-_Mogor_(San_Xurxo),400,Playa_resguardada,Fina,42.385972,-8.719416,http://www.turismo.gal/ficha-recurso?cod_rec=10139
Pontevedra,36,Marin,36026,O_Santo,Casas_-_Ardan_(Santa_Maria),350,Playa_resguardada,Fina,42.348889,-8.751444,http://www.turismo.gal/ficha-recurso?cod_rec=10454
Pontevedra,36,Marin,36026,Portocelo,O_Monte_-_Mogor_(San_Xurxo),225,Playa_resguardada,Fina,42.390027,-8.71425,http://www.turismo.gal/ficha-recurso?cod_rec=10138
Pontevedra,,Moana,36950,O_Con,O_Con-_Tiran_(San_Xoan),150,Playa_abierta,Fina,42.271083,-8.740527,http://www.turismo.gal/ficha-recurso?cod_rec=10143
Pontevedra,36,Nigran,36035,Patos,Patos_-_Panxon_(San_Xoan),600,Playa_resguardada,Fina,42.154778,-8.824333,http://www.turismo.gal/ficha-recurso?cod_rec=9815
Pontevedra,36,Nigran,36035,Praia_America,A_Praia_America,1900,Playa_resguardada,Fina,42.133194,-8.817444,http://www.turismo.gal/ficha-recurso?cod_rec=9814
Pontevedra,36,Nigran,36035,Panxon,Nigran,1000,Playa_resguardada,Fina,42.14147,-8.819777,http://www.turismo.gal/recurso/-/detalle/10520/panxon
