IDDispenserRubbish,IDDistrict,DistrictName,same_as_wikidata_district,IDNeighborhood,NeighborhoodName,Active,InstallDate,Address,Model
467591,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,154,CONCEPCION,OPERATIVO,27/05/2010,CALLE DE MANIPA 77,50_LTS_EX
467902,16,Hortaleza,https://wikidata.org/entity/Q1928529,164,PINAR DEL REY,OPERATIVO,28/05/2010,CALLE DE SANLUCAR DE BARRAMEDA 2,50_LTS_EX
469478,10,Latina,https://wikidata.org/entity/Q794954,102,PUERTA DEL ANGEL,OPERATIVO,01/06/2010,AVENIDA DE LOS APOSTOLES 7,50_LTS_EX
469815,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,154,CONCEPCION,OPERATIVO,01/06/2010,CALLE DE LA VIRGEN DE LOURDES 4,50_LTS_EX
469896,10,Latina,https://wikidata.org/entity/Q794954,102,PUERTA DEL ANGEL,OPERATIVO,01/06/2010,PASEO DE LA ERMITA DEL SANTO 14,50_LTS_EX
483719,16,Hortaleza,https://wikidata.org/entity/Q1928529,163,CANILLAS,OPERATIVO,19/05/2010,CALLE DE NAPOLES 53,50_LTS_EX
483871,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,134,PALOMERAS SURESTE,OPERATIVO,19/05/2010,AVENIDA DE PABLO NERUDA 51,50_LTS_EX
490202,2,Arganzuela,https://wikidata.org/entity/Q2000929,26,PALOS DE MOGUER,OPERATIVO,16/06/2010,CALLE DE SEBASTIAN ELCANO 44,50_LTS_EX
492293,2,Arganzuela,https://wikidata.org/entity/Q2000929,25,DELICIAS,OPERATIVO,23/06/2010,CALLE DE TOMAS BRETON 47E,50_LTS_EX
493223,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,93,CIUDAD UNIVERSITARIA,OPERATIVO,24/06/2010,PASEO DE JUAN XXIII 52,50_LTS_EX
494987,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,94,VALDEZARZA,OPERATIVO,29/06/2010,AVENIDA DE JUAN ANDRES 62,50_LTS_EX
495658,21,Barajas,https://wikidata.org/entity/Q807230,215,CORRALEJOS,OPERATIVO,30/06/2010,CALLE DE LA BAHIA DE ALMERIA 21H,50_LTS_EX
497049,3,Retiro,https://wikidata.org/entity/Q2002296,31,PACIFICO,OPERATIVO,02/07/2010,CALLE DE GUTENBERG 11,50_LTS_EX
503889,4,Salamanca,https://wikidata.org/entity/Q1773521,41,RECOLETOS,OPERATIVO,15/07/2010,CALLE DE VELAZQUEZ 40,50_LTS_EX
504893,1,Centro,https://wikidata.org/entity/Q1763376,12,EMBAJADORES,OPERATIVO,16/07/2010,CALLE DE MIRA EL SOL 21,50_LTS_EX
505987,1,Centro,https://wikidata.org/entity/Q1763376,14,JUSTICIA,OPERATIVO,20/07/2010,CALLE DE BELEN 8,50_LTS_EX
506548,10,Latina,https://wikidata.org/entity/Q794954,107,LAS AGUILAS,OPERATIVO,21/07/2010,CALLE DE NAVIA 10G,50_LTS_EX
512114,4,Salamanca,https://wikidata.org/entity/Q1773521,45,LISTA,OPERATIVO,29/10/2010,CALLE DE MALDONADO 54,50_LTS_EX
513679,7,Chamberí,https://wikidata.org/entity/Q1763370,75,RIOS ROSAS,OPERATIVO,30/11/2010,CALLE DE ALONSO CANO 24,50_LTS_EX
513831,20,San Blas,https://wikidata.org/entity/Q2001937,204,ARCOS,OPERATIVO,01/12/2010,CALLE DE AQUITANIA 16B,50_LTS_EX
513992,12,Usera,https://wikidata.org/entity/Q953368,124,ALMENDRALES,OPERATIVO,03/12/2010,CALLE DE SANTA CRUZ DE MUDELA 9,50_LTS_EX
514598,1,Centro,https://wikidata.org/entity/Q1763376,14,JUSTICIA,OPERATIVO,20/01/2011,CALLE DEL BARQUILLO 8,50_LTS_EX
514617,1,Centro,https://wikidata.org/entity/Q1763376,15,UNIVERSIDAD,OPERATIVO,20/01/2011,CALLE DE SAN BERNARDO 74,50_LTS_EX
514610,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,182,SANTA EUGENIA,OPERATIVO,20/01/2011,PLAZA DE MARTINEZ OLMEDILLA 1,50_LTS_EX
514693,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,183,ENSANCHE DE VALLECAS,OPERATIVO,21/01/2011,CALLE DE ALAMEDA DEL VALLE 26,50_LTS_EX
514851,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,133,PALOMERAS BAJAS,OPERATIVO,25/01/2011,CALLE DE LOS HERMANOS GARCIA 125,50_LTS_EX
515202,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,152,PUEBLO NUEVO,OPERATIVO,02/02/2011,CALLE DE RODRIGO DE TRIANA 8,50_LTS_EX
515276,14,Moratalaz,https://wikidata.org/entity/Q2076109,145,FONTARRON,OPERATIVO,03/02/2011,CALLE DEL ARROYO FONTARRON 14,50_LTS_EX
515288,14,Moratalaz,https://wikidata.org/entity/Q2076109,141,PAVONES,OPERATIVO,03/02/2011,CALLE DEL ARROYO FONTARRON 363,50_LTS_EX
515552,4,Salamanca,https://wikidata.org/entity/Q1773521,44,GUINDALERA,OPERATIVO,10/02/2011,AVENIDA DE AMERICA 54,50_LTS_EX
515703,10,Latina,https://wikidata.org/entity/Q794954,107,LAS AGUILAS,OPERATIVO,15/02/2011,CALLE DE GARROVILLAS 9,50_LTS_EX
515779,10,Latina,https://wikidata.org/entity/Q794954,107,LAS AGUILAS,OPERATIVO,16/02/2011,CALLE DE LA FUENTE DE LIMA 7B,50_LTS_EX
515945,10,Latina,https://wikidata.org/entity/Q794954,104,ALUCHE,OPERATIVO,18/02/2011,CALLE DE VALMOJADO 151,50_LTS_EX
516001,6,Tetuán,https://wikidata.org/entity/Q1773540,62,CUATRO CAMINOS,OPERATIVO,18/02/2011,CALLE DE ORENSE 40,50_LTS_EX
516128,16,Hortaleza,https://wikidata.org/entity/Q1928529,163,CANILLAS,OPERATIVO,18/02/2011,CALLE DE ANDORRA 26,50_LTS_EX
516377,6,Tetuán,https://wikidata.org/entity/Q1773540,63,CASTILLEJOS,OPERATIVO,21/02/2011,PASEO DE LA CASTELLANA 121,50_LTS_EX
516454,6,Tetuán,https://wikidata.org/entity/Q1773540,64,ALMENARA,OPERATIVO,21/02/2011,CALLE DE SINESIO DELGADO 5,50_LTS_EX
516500,1,Centro,https://wikidata.org/entity/Q1763376,15,UNIVERSIDAD,OPERATIVO,22/02/2011,CALLE DE ALBERTO AGUILERA 23,50_LTS_EX
516837,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,133,PALOMERAS BAJAS,OPERATIVO,22/02/2011,CALLE DE VIRIDIANA 9K,50_LTS_EX
517264,11,Carabanchel,https://wikidata.org/entity/Q1001991,113,SAN ISIDRO,OPERATIVO,23/02/2011,CALLE DE ALGABA 23,50_LTS_EX
517467,11,Carabanchel,https://wikidata.org/entity/Q1001991,114,VISTA ALEGRE,OPERATIVO,24/02/2011,CALLE DEL GUABAIRO 18,50_LTS_EX
517534,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,154,CONCEPCION,OPERATIVO,24/02/2011,CALLE DEL ESTRECHO DE COREA 1,50_LTS_EX
517540,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,81,EL PARDO,OPERATIVO,24/02/2011,PLAZA DE ROGELIO ENRIQUEZ 5,50_LTS_EX
517716,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,97,ARAVACA,OPERATIVO,25/02/2011,AVENIDA DE LA OSA MAYOR 124,50_LTS_EX
517718,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,154,CONCEPCION,OPERATIVO,25/02/2011,CALLE DE LA VIRGEN DE LOURDES 22,50_LTS_EX
517803,7,Chamberí,https://wikidata.org/entity/Q1763370,76,VALLEHERMOSO,OPERATIVO,25/02/2011,AVENIDA DEL VALLE 42,50_LTS_EX
517804,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,84,EL PILAR,OPERATIVO,25/02/2011,AVENIDA DE MONFORTE DE LEMOS 42,50_LTS_EX
517877,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,133,PALOMERAS BAJAS,OPERATIVO,25/02/2011,CALLE DE PIO FELIPE 42,50_LTS_EX
517889,20,San Blas,https://wikidata.org/entity/Q2001937,208,EL SALVADOR,OPERATIVO,25/02/2011,CALLE DEL GENERAL ARANAZ 82,50_LTS_EX
517950,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,BUENAVISTA,OPERATIVO,25/02/2011,CALLE DEL PALMERAL DE ELCHE 6,50_LTS_EX
517959,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,BUENAVISTA,OPERATIVO,25/02/2011,CALLE DEL PINAR DE SAN JOSE 44,50_LTS_EX
518045,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,86,VALVERDE,OPERATIVO,26/02/2011,AVENIDA DEL LLANO CASTELLANO 13,50_LTS_EX
518116,5,Chamartín,https://wikidata.org/entity/Q1766348,53,CIUDAD JARDIN,OPERATIVO,28/02/2011,CALLE DE SAN ERNESTO 18,50_LTS_EX
518349,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,88,EL GOLOSO,OPERATIVO,28/02/2011,AVENIDA DEL SANTUARIO DE VALVERDE 7,50_LTS_EX
518920,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,94,VALDEZARZA,OPERATIVO,24/03/2011,CALLE DE ANTONIO MACHADO 31,50_LTS_EX
519078,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,VALDEFUENTES,OPERATIVO,04/04/2011,CALLE DE FERNANDO DE ROJAS 1,50_LTS_EX
485260,5,Chamartín,https://wikidata.org/entity/Q1766348,51,EL VISO,OPERATIVO,09/06/2010,PLAZA DE LA REPUBLICA ARGENTINA 8,50_LTS_EX
465286,16,Hortaleza,https://wikidata.org/entity/Q1928529,163,CANILLAS,OPERATIVO,25/05/2010,CALLE DE MINAYA 2,50_LTS_EX
466910,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,133,PALOMERAS BAJAS,OPERATIVO,27/05/2010,CALLE DEL PUERTO DE BALBARAN 6,50_LTS_EX
468213,5,Chamartín,https://wikidata.org/entity/Q1766348,55,NUEVA ESPANA,OPERATIVO,28/05/2010,CALLE DEL GENERAL LOPEZ POZAS 9,50_LTS_EX
467499,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,133,PALOMERAS BAJAS,OPERATIVO,27/05/2010,CALLE DEL PAYASO FOFO 30,50_LTS_EX
473210,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,83,PENA GRANDE,OPERATIVO,07/06/2010,CALLE DEL VALLE DE PINARES LLANOS 8A,50_LTS_EX
495000,21,Barajas,https://wikidata.org/entity/Q807230,214,TIMON,NO_OPERATIVO_TEMP,29/06/2010,CALLE DE LA PLAYA AMERICA 10,50_LTS_EX
496106,21,Barajas,https://wikidata.org/entity/Q807230,211,ALAMEDA DE OSUNA,OPERATIVO,01/07/2010,CALLE DE LA CARABELA 8,50_LTS_EX
501072,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,BUENAVISTA,OPERATIVO,09/07/2010,AVENIDA DEL EURO 11,50_LTS_EX
505876,1,Centro,https://wikidata.org/entity/Q1763376,14,JUSTICIA,OPERATIVO,19/07/2010,PLAZA DE LAS SALESAS 5,50_LTS_EX
512624,1,Centro,https://wikidata.org/entity/Q1763376,14,JUSTICIA,OPERATIVO,11/11/2010,CALLE DE HORTALEZA 1,50_LTS_EX
512977,21,Barajas,https://wikidata.org/entity/Q807230,211,ALAMEDA DE OSUNA,OPERATIVO,16/11/2010,CALLE DE LA RIOJA 5,50_LTS_EX
513651,7,Chamberí,https://wikidata.org/entity/Q1763370,73,TRAFALGAR,OPERATIVO,30/11/2010,CALLE DE FRANCISCO DE ROJAS 14,50_LTS_EX
513817,20,San Blas,https://wikidata.org/entity/Q2001937,201,SIMANCAS,OPERATIVO,01/12/2010,CALLE DE FERNANDO VII 19,50_LTS_EX
513863,12,Usera,https://wikidata.org/entity/Q953368,121,ORCASITAS,OPERATIVO,02/12/2010,CALLE DE DEVA 6,50_LTS_EX
514645,17,Villaverde,https://wikidata.org/entity/Q919536,175,LOS ANGELES,OPERATIVO,21/01/2011,CALLE DE PAN Y TOROS 39,50_LTS_EX
