Underground_ID,Underground_Name,Same_As_Wikidata_Underground,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
73,Feria de Madrid,https://wikidata.org/entity/Q2473865,Avda,del,Partenon,N,5,28042,21,Barajas,https://wikidata.org/entity/Q807230,447868,4479637
74,Eugenia de Montijo,https://wikidata.org/entity/Q2058271,Calle,de,Ocana,N,86,28047,11,Carabanchel,https://wikidata.org/entity/Q1001991,436347,4470900
75,La Fortuna,https://wikidata.org/entity/Q3820855,Calle,,San Jose,N,40,28917,6,Tetuan,https://wikidata.org/entity/Q1773540,434062,4467986
76,Alsacia,https://wikidata.org/entity/Q3613056,Plaza,de,Alsacia,N,S/N,28037,20,San Blas,https://wikidata.org/entity/Q2001937,447213,4474579
77,La Almudena,https://wikidata.org/entity/Q3820626,Calle,de,Arriaga,N,75,28017,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445891,4475180
78,Paco de Lucia,https://wikidata.org/entity/Q5846080,Calle,de,Monasterio de Las Huelgas,N,5,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,440026,4483665
79,Velazquez,https://wikidata.org/entity/Q2481170,Calle,de,Nunez de Balboa,N,33,28001,4,Salamanca,https://wikidata.org/entity/Q1773521,442179,4475365
80,Prosperidad,https://wikidata.org/entity/Q2056525,Plaza,de la,Prosperidad,N,4,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,442882,4477486
81,Arturo Soria,https://wikidata.org/entity/Q2481371,Calle,de,Arturo Soria,N,172,28043,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,444472,4478766
82,Canillas,https://wikidata.org/entity/Q2481265,Avda,de,Machupichu,N,64,28043,16,Hortaleza,https://wikidata.org/entity/Q1928529,446224,4479639
83,Parque de Santa Maria,https://wikidata.org/entity/Q2481002,Calle,de,Santa Virgilia,N,1,28033,16,Hortaleza,https://wikidata.org/entity/Q1928529,445417,4481122
84,Ciudad Lineal,https://wikidata.org/entity/Q2054883,Calle,de,Arturo Soria,N,2,28027,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445986,4476781
85,La Latina,https://wikidata.org/entity/Q1115250,Calle,de,San Millan,N,5,28005,1,Centro,https://wikidata.org/entity/Q1763376,440025,4473855
86,Carabanchel,https://wikidata.org/entity/Q2056760,Gta,del,Ejercito,N,1,28047,11,Carabanchel,https://wikidata.org/entity/Q1001991,436888,4471277
87,Rivas Urbanizaciones,https://wikidata.org/entity/Q2479404,Plaza,de,Galicia,N,5,28529,1,Centro,https://wikidata.org/entity/Q1763376,453645,4468818
88,Lista,https://wikidata.org/entity/Q2479567,Calle,del,Conde de Penalver,N,45,28006,4,Salamanca,https://wikidata.org/entity/Q1773521,442819,4475819
89,Lago,https://wikidata.org/entity/Q1902898,Ronda,del,Lago,N,3,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,437699,4474444
90,Batan,https://wikidata.org/entity/Q2059269,Paseo,de la,Venta,N,1,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,436208,4473507
91,Sol,https://wikidata.org/entity/Q1766008,Plaza,de la,Puerta del Sol,N,6,28013,1,Centro,https://wikidata.org/entity/Q1763376,440446,4474473
92,Sol,https://wikidata.org/entity/Q1766008,Plaza,de la,Puerta del Sol,N,6,28013,1,Centro,https://wikidata.org/entity/Q1763376,440446,4474470
93,Sol,https://wikidata.org/entity/Q1766008,Plaza,de la,Puerta del Sol,N,6,28013,1,Centro,https://wikidata.org/entity/Q1763376,440446,4474466
94,Nuevos Ministerios Station,https://wikidata.org/entity/Q2705508,Calle,de,Raimundo Fernandez Villaverde,N,67,28046,6,Tetuan,https://wikidata.org/entity/Q1773540,441392,4477767
95,Nuevos Ministerios Station,https://wikidata.org/entity/Q2705508,Calle,de,Raimundo Fernandez Villaverde,N,67,28046,6,Tetuan,https://wikidata.org/entity/Q1773540,441392,4477763
96,La Poveda,https://wikidata.org/entity/Q2479062,Parcela,,9017 Poligono 1,SN,S/N,28500,1,Centro,https://wikidata.org/entity/Q1763376,459545,4463483
97,Empalme,https://wikidata.org/entity/Q2057577,Calle,de,Tembleque,N,105,28024,10,Latina,https://wikidata.org/entity/Q794954,435153,4471597
98,Getafe Central,https://wikidata.org/entity/Q2485075,Calle,,Ferrocarril,N,2,28904,3,Retiro,https://wikidata.org/entity/Q2002296,437737,4462623
99,Tribunal,https://wikidata.org/entity/Q2479844,Calle,de,Fuencarral,N,81,28004,1,Centro,https://wikidata.org/entity/Q1763376,440637,4475505
100,Carpetana,https://wikidata.org/entity/Q2482395,Calle,,Via Carpetana,N,141,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,437222,4471816
101,Opanel,https://wikidata.org/entity/Q2482116,Calle,del,Valle de Oro,N,50,28019,11,Carabanchel,https://wikidata.org/entity/Q1001991,438733,4471160
102,Conde de Casal,https://wikidata.org/entity/Q2055817,Plaza,del,Conde de Casal,N,3,28007,3,Retiro,https://wikidata.org/entity/Q2002296,443225,4473352
103,Vicente Aleixandre,https://wikidata.org/entity/Q2482382,Avda,de,Gregorio del Amo,N,4,28040,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439101,4477765
104,Alto de Extremadura,https://wikidata.org/entity/Q2482103,Paseo,de,Extremadura,N,154,28011,10,Latina,https://wikidata.org/entity/Q794954,437413,4473726
105,Tirso de Molina,https://wikidata.org/entity/Q2474438,Plaza,de,Tirso de Molina,N,7,28012,1,Centro,https://wikidata.org/entity/Q1763376,440323,4473971
106,Plaza de Espana / Noviciado,https://wikidata.org/entity/Q2219895,Plaza,de,Espana,N,1,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439778,4475204
107,Ventura Rodriguez,https://wikidata.org/entity/Q2378663,Calle,de la,Princesa,N,22,28008,1,Centro,https://wikidata.org/entity/Q1763376,439594,4475613
108,Las Tablas,https://wikidata.org/entity/Q2244102,Calle,de,Palas de Rey,N,30,28050,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,443392,4484602
109,Casa de Campo,https://wikidata.org/entity/Q568579,Ctra,del,Zoo,N,1,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,435533,4473000
110,Casa de Campo,https://wikidata.org/entity/Q568579,Paseo,de la,Venta,N,S/N,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,435533,4472996
111,Pueblo Nuevo,https://wikidata.org/entity/Q384453,Calle,de,Alcala,N,372,28027,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445588,4476523
112,Ciudad Universitaria,https://wikidata.org/entity/Q2482378,Avda,,Complutense,N,1,28040,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,438474,4477451
113,Guzman el Bueno,https://wikidata.org/entity/Q2482402,Calle,de,Guzman el Bueno,N,118,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,439706,4477748
114,Vinateros,https://wikidata.org/entity/Q2479812,Calle,del,Camino de los Vinateros,N,70,28030,14,Moratalaz,https://wikidata.org/entity/Q2076109,444727,4473704
115,Artilleros,https://wikidata.org/entity/Q649362,Calle,del,Camino de los Vinateros,N,210,28030,14,Moratalaz,https://wikidata.org/entity/Q2076109,445650,4473140
116,Nueva Numancia,https://wikidata.org/entity/Q2696516,Avda,de la,Albufera,N,70,28053,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,443747,4472079
117,San Cipriano,https://wikidata.org/entity/Q2479793,Calle,de,San Cipriano,N,68,28032,19,Vicalvaro,https://wikidata.org/entity/Q589403,448993,4472960
118,Alameda de Osuna,https://wikidata.org/entity/Q2403543,Calle,de la,Corbeta,N,14,28042,21,Barajas,https://wikidata.org/entity/Q807230,450295,4478943
119,Estacion del Arte,https://wikidata.org/entity/Q2016175,Plaza,del,Emperador Carlos V,N,11,28012,1,Centro,https://wikidata.org/entity/Q1763376,441353,4473575
120,Atocha Renfe,https://wikidata.org/entity/Q9161733,Avda,de la,Ciudad de Barcelona,N,2,28007,2,Arganzuela,https://wikidata.org/entity/Q2000929,441615,4473322
121,Opera,https://wikidata.org/entity/Q2736048,Plaza,de,Isabel II,N,9,28013,1,Centro,https://wikidata.org/entity/Q1763376,439924,4474612
122,Alonso Martinez,https://wikidata.org/entity/Q2481198,Plaza,de,Alonso Martinez,N,4,28004,7,Chamberi,https://wikidata.org/entity/Q1763370,441076,4475672
123,Tetuan,https://wikidata.org/entity/Q515413,Calle,de,Bravo Murillo,N,264,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440909,4479318
124,La Gavia,https://wikidata.org/entity/Q3820879,Avda,del,Ensanche de Vallecas,N,16,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,448028,4469234
125,Goya,https://wikidata.org/entity/Q955699,Calle,de,Alcala,N,96,28009,4,Salamanca,https://wikidata.org/entity/Q1773521,442773,4475306
126,Principe de Vergara,https://wikidata.org/entity/Q582040,Calle,de,Alcala,N,123,28009,4,Salamanca,https://wikidata.org/entity/Q1773521,442414,4475131
127,Retiro,https://wikidata.org/entity/Q2056874,Calle,de,Alcala,N,81,28009,3,Retiro,https://wikidata.org/entity/Q2002296,441892,4474842
128,Santo Domingo,https://wikidata.org/entity/Q2125964,Calle,de,San Bernardo,N,11,28013,1,Centro,https://wikidata.org/entity/Q1763376,440051,4474969
129,San Bernardo,https://wikidata.org/entity/Q2055810,Calle,de,San Bernardo,N,94,28015,7,Chamberi,https://wikidata.org/entity/Q1763370,440261,4475933
130,Las Suertes,https://wikidata.org/entity/Q3827256,Calle,de,Canada del Santisimo,N,45,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,449206,4468453
131,Valdecarros,https://wikidata.org/entity/Q667797,Avda,del,Ensanche de Vallecas,N,120,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,449744,4468099
132,Iglesia,https://wikidata.org/entity/Q1113361,Gta,del,Pintor Sorolla,N,2,28010,7,Chamberi,https://wikidata.org/entity/Q1763370,440825,4476473
133,Gran Via,https://wikidata.org/entity/Q2729745,Calle,,Gran Via,N,23,28013,1,Centro,https://wikidata.org/entity/Q1763376,440572,4474820
