Column,Column2,File,id_provincia,PROVINCIA,same_as_wikidata_provincia,id_municipio,MUNICIPIO,same_as_wikidata_municipio,ESTACION,ESTACION_NAME,MAGNITUD,MAGNITUD_NAME,DATE,D01,V01
53,53,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-06-01T00:00:00Z,78.0,V
54,54,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-07-01T00:00:00Z,19.0,V
55,55,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-08-01T00:00:00Z,150.0,V
56,56,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-09-01T00:00:00Z,70.0,V
57,57,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-10-01T00:00:00Z,57.0,V
58,58,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-11-01T00:00:00Z,95.0,V
59,59,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,12,Oxido de Nitrogeno (ug/m3),2018-12-01T00:00:00Z,133.0,V
60,60,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-01-01T00:00:00Z,3.0,V
61,61,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-02-01T00:00:00Z,4.0,V
62,62,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-03-01T00:00:00Z,3.0,V
63,63,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-04-01T00:00:00Z,6.0,V
64,64,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-05-01T00:00:00Z,4.0,V
65,65,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-06-01T00:00:00Z,4.0,V
66,66,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-07-01T00:00:00Z,4.0,V
67,67,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-08-01T00:00:00Z,5.0,V
