EXPEDIENTE,DATETIME,CALLE,CALLEWIKIDATA,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S002047,2021-02-13T15:00:00ZZ,Paseo_de_la_Castellana,https://wikidata.org/entity/Q1473674,243,Tetuan,Caída,Despejado,Bicicleta,10045,Conductor,De 40 a 44 años,Hombre,7
2021S002050,2021-02-13T16:20:00ZZ,CALLE_ANICETO_MARINAS,,74,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10046,Conductor,De 25 a 29 años,Hombre,7
2021S002050,2021-02-13T16:20:00ZZ,CALLE_ANICETO_MARINAS,,74,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10047,Peatón,Desconocido,Mujer,14
2021S002054,2021-02-13T17:15:00ZZ,AVENIDA_MIGUEL_HERNANDEZ,,116,Puente_de_Vallecas,Alcance,Despejado,Bicicleta,10048,Conductor,De 35 a 39 años,Hombre,1
2021S002054,2021-02-13T17:15:00ZZ,AVENIDA_MIGUEL_HERNANDEZ,,116,Puente_de_Vallecas,Alcance,Despejado,Bicicleta,10049,Conductor,De 35 a 39 años,Hombre,14
2021S002207,2021-02-15T08:30:00ZZ,Paseo_de_la_Castellana,https://wikidata.org/entity/Q1473674,274,Chamartin,Colisión lateral,Despejado,Bicicleta,10050,Conductor,De 45 a 49 años,Hombre,14
2021S002235,2021-02-16T14:20:00ZZ,Paseo_de_la_Castellana,https://wikidata.org/entity/Q1473674,2,Salamanca,Alcance,Despejado,Bicicleta,10051,Conductor,De 35 a 39 años,Hombre,
2021S002241,2021-11-02T17:50:00ZZ,CALLE_VALCARLOS,,24,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10052,Conductor,De 45 a 49 años,Hombre,7
2021S002248,2021-02-16T21:00:00ZZ,CALLE_BEJAR,,15,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,10053,Conductor,De 25 a 29 años,Hombre,2
2021S002327,2021-02-18T15:25:00ZZ,Calle_de_Gutierrez_Solana_Madrid,https://wikidata.org/entity/Q28531457,4,Chamartin,Colisión fronto-lateral,Despejado,Bicicleta,10054,Conductor,De 50 a 54 años,Hombre,3
2021S002349,2021-02-17T19:15:00ZZ,Avenida_del_Planetario,https://wikidata.org/entity/Q17622122,12,Arganzuela,Alcance,Despejado,Bicicleta,10055,Conductor,De 40 a 44 años,Hombre,7
2021S002354,2021-02-18T18:30:00ZZ,CALLE_SEDANO,,24,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10056,Conductor,De 10 a 14 años,Hombre,7
2021S002359,2021-02-18T20:25:00ZZ,Avenida_de_la_Institucion_Libre_de_Enseñanza_Madrid,https://wikidata.org/entity/Q5740959,41,San_Blas,Colisión lateral,Despejado,Bicicleta,10057,Conductor,De 25 a 29 años,Hombre,
2021S002383,2021-02-19T12:10:00ZZ,avenida_de_los_Poblados,https://wikidata.org/entity/Q26795575,106,Carabanchel,Choque contra obstáculo fijo,Despejado,Bicicleta,10058,Conductor,De 70 a 74 años,Hombre,2
2021S002401,2021-02-19T18:28:00ZZ,Capitan_Blanco_Argibay_Street,https://wikidata.org/entity/Q27038685,210,Tetuan,Colisión fronto-lateral,Despejado,Bicicleta,10059,Conductor,De 50 a 54 años,Hombre,7
2021S002498,2021-02-18T19:40:00ZZ,GLORIETA_ANTONIO_PERPIÑA,,0,Hortaleza,Colisión lateral,Despejado,Bicicleta,10060,Conductor,De 35 a 39 años,Hombre,7
2021S002541,2021-02-20T13:15:00ZZ,PLAZA_EMPERADOR_CARLOS_V,,8,Centro,Colisión lateral,Despejado,Bicicleta,10061,Conductor,De 35 a 39 años,Mujer,7
2021S002548,2021-02-20T13:15:00ZZ,CALLE_SANCHIDRIAN,,13A,Latina,Colisión lateral,Despejado,Bicicleta,10062,Conductor,De 45 a 49 años,Hombre,7
2021S002558,2021-02-20T18:10:00ZZ,Calle_de_Embajadores_Madrid,https://wikidata.org/entity/Q5740826,69,Arganzuela,Caída,Despejado,Bicicleta,10063,Conductor,De 25 a 29 años,Hombre,2
2021S002603,2021-02-21T13:30:00ZZ,CALLE_ARROYO_FONTARRON,,24,Moratalaz,Caída,Lluvia débil,Bicicleta,10064,Conductor,De 45 a 49 años,Hombre,2
2021S002629,2021-02-22T17:00:00ZZ,PLAZA_EMPERADOR_CARLOS_V,,1,Centro,Colisión lateral,Despejado,Bicicleta,10065,Conductor,De 21 a 24 años,Mujer,6
2021S002631,2021-02-16T18:00:00ZZ,CALLE_VALLE_DE_PINARES_LLANOS,,27,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10066,Conductor,De 35 a 39 años,Mujer,7
2021S002645,2021-02-22T20:40:00ZZ,San_Bernardo_street,https://wikidata.org/entity/Q5740864,55,Centro,Atropello a persona,Despejado,Bicicleta,10067,Conductor,De 35 a 39 años,Hombre,14
2021S002645,2021-02-22T20:40:00ZZ,San_Bernardo_street,https://wikidata.org/entity/Q5740864,55,Centro,Atropello a persona,Despejado,Bicicleta,10068,Peatón,De 70 a 74 años,Hombre,5
2021S002714,2021-02-24T15:05:00ZZ,Calle_de_Jose_Ortega_y_Gasset_Madrid,https://wikidata.org/entity/Q16540548,26,Salamanca,Alcance,Despejado,Bicicleta,10069,Conductor,De 25 a 29 años,Hombre,
2021S002721,2021-02-24T17:55:00ZZ,Calle_de_Bravo_Murillo,https://wikidata.org/entity/Q5740815,175,Tetuan,Colisión fronto-lateral,Despejado,Bicicleta,10070,Conductor,De 21 a 24 años,Mujer,
2021S002806,2021-02-19T14:30:00ZZ,CALLE_MORALZARZAL,,61,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10071,Conductor,De 10 a 14 años,Hombre,2
2021S002807,2021-02-26T14:15:00ZZ,AVENIDA_ENTREVIAS,,2,Puente_de_Vallecas,Colisión lateral,Despejado,Bicicleta,10072,Conductor,De 21 a 24 años,Hombre,7
2021S002810,2021-02-19T18:10:00ZZ,CALLE_SANDALIA_NAVAS,,17,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10073,Conductor,De 15 a 17 años,Hombre,2
2021S002812,2021-02-26T14:45:00ZZ,Calle_de_la_Ribera_de_Curtidores,https://wikidata.org/entity/Q5740938,25,Centro,Caída,Despejado,Bicicleta,10074,Conductor,De 30 a 34 años,Hombre,6
2021S002817,2021-02-26T19:29:00ZZ,calle_de_Hortaleza,https://wikidata.org/entity/Q5740911,100,Centro,Colisión lateral,Se desconoce,Bicicleta,10075,Conductor,De 30 a 34 años,Hombre,7
2021S002855,2021-02-26T06:25:00ZZ,Calle_del_General_Ricardos_Madrid,https://wikidata.org/entity/Q5740542,2,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10076,Conductor,De 35 a 39 años,Mujer,5
2021S002879,2021-02-27T11:55:00ZZ,calle_de_Segovia,https://wikidata.org/entity/Q8255505,8,Centro,Caída,Despejado,Bicicleta,10077,Conductor,De 60 a 64 años,Hombre,1
2021S002908,2021-02-27T19:15:00ZZ,PASEO_EMBARCADERO,,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10078,Conductor,De 30 a 34 años,Hombre,6
2021S002961,2021-02-28T11:30:00ZZ,Alcala_Street,https://wikidata.org/entity/Q2424746,29,Centro,Colisión lateral,Despejado,Bicicleta,10079,Conductor,De 70 a 74 años,Hombre,7
2021S003008,2021-02-28T17:15:00ZZ,Paseo_del_Prado,https://wikidata.org/entity/Q2079615,9,Retiro,Colisión lateral,Despejado,Bicicleta,10080,Conductor,De 30 a 34 años,Hombre,7
2021S003050,2021-02-27T21:20:00ZZ,CALLE_EDUARDO_BARREIROS,,21,Usera,Choque contra obstáculo fijo,Despejado,Bicicleta,10081,Conductor,De 35 a 39 años,Mujer,7
2021S003057,2021-02-19T20:20:00ZZ,Calle_de_Nuestra_Señora_de_Valverde_Madrid,https://wikidata.org/entity/Q56256719,138,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10082,Conductor,De 35 a 39 años,Hombre,14
