ID_ESTACION,ID_GAS,NOMBRE,WIKIDATA-LINKS,NOTACION,FECHA,CANTIDAD
55,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,87
55,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,41
55,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,249
55,20,tolueno,https://www.wikidata.org/wiki/Q15779,TOL,2021-11-11,6.2
55,30,benceno,https://www.wikidata.org/wiki/Q2270,BEN,2021-11-11,1
55,35,etilbenceno,https://www.wikidata.org/wiki/Q409184,EBE,2021-11-11,1.1
56,6,monóxido de carbono,https://www.wikidata.org/wiki/Q2025,CO,2021-11-11,0.3
56,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,31
56,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,66
56,9,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM2.5,2021-11-11,11
56,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,16
56,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,114
57,1,dióxido de azufre,https://www.wikidata.org/wiki/Q5282,SO2,2021-11-11,5
57,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,46
57,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,89
57,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,28
57,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,160
58,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,2
58,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,22
58,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,25
58,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,13.51
59,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,1
59,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,67
59,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,69
59,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,1.79
60,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,81
60,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,101
60,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,34
60,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,224
60,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,8.11
