id_terraza,id_local,id_distrito,Distrito,Barrio,TipoVia,NombreCalle,Portal,Rotulo,Mesas,Sillas
138,270309378,2,ARGANZUELA,ACACIAS,PASEO,ACACIAS,3,CAFETERIA HINOJAR,10,25
145,285031450,17,VILLAVERDE,SAN ANDRES,CALLE,BERZOSA DE LOZOYA,1,DON GERMAN,12,48
147,170000809,17,VILLAVERDE,BUTARQUE,CALLE,CANCHAL,3,RESTAURANTE PARQUE ROSALES CERVECERIA,21,70
148,285021312,12,USERA,MOSCARDO,AVENIDA,MANZANARES,212,EL BAR,5,16
149,270519524,9,MONCLOA-ARAVACA,ARGUELLES,CALLE,MARTIN DE LOS HEROS,11,8 1/2 LIBROS DE CINE,8,31
151,270540061,12,USERA,ALMENDRALES,CALLE,ANTONIO LOPEZ,201,MONTEFERRO,18,36
152,270417284,12,USERA,ALMENDRALES,CALLE,ANTONIO LOPEZ,204,CAFETERIA 204,15,60
153,270534735,12,USERA,SAN FERMIN,AVENIDA,LOS ROSALES,16,PARRILLA BONALMA,7,25
154,270217569,12,USERA,MOSCARDO,CALLE,MARCELO USERA,164,BAR,17,68
155,270156329,12,USERA,MOSCARDO,CALLE,DOLORES SOPEÑA,1,BAR LUZON,15,60
156,270363433,12,USERA,ORCASUR,CALLE,PADRE JOSE MARIA,2,CAFETERIA HALLEY,4,15
157,270432683,12,USERA,ORCASITAS,PLAZA,MIL DELEGADOS,1,BAR SANCHEZ,8,32
159,270280806,17,VILLAVERDE,LOS ANGELES,CALLE,BOHEMIOS,12,VENTA CARMONA,16,64
160,270183220,17,VILLAVERDE,LOS ANGELES,CALLE,ESCORIAZA,5,CAFETERIA LUMAR,12,48
161,270471784,17,VILLAVERDE,LOS ANGELES,CALLE,LA CANCION DEL OLVIDO,1,BAR CASA MONICA,29,116
163,270191062,17,VILLAVERDE,LOS ANGELES,CALLE,LA DOLOROSA,11,EL PILAR,30,80
164,270181096,17,VILLAVERDE,SAN ANDRES,CALLE,DOMINGO PARRAGA,6,EL PORTON,9,27
165,170000796,17,VILLAVERDE,LOS ANGELES,CALLE,PAN Y TOROS,37,BAR EL RINCON DEL QUIJOTE,15,54
167,270250040,17,VILLAVERDE,LOS ROSALES,CALLE,SAHARA,50,DI MADRID,38,152
168,270033525,17,VILLAVERDE,LOS ROSALES,CALLE,SAHARA,56,EL ZAGUAN,20,80
171,170000283,17,VILLAVERDE,LOS ROSALES,CALLE,VILLAJOYOSA,63,LA BODEGUILLA IBERICA,8,32
172,170000006,17,VILLAVERDE,SAN CRISTOBAL,CALLE,GODELLA,251,BAR VIETNAM,11,44
173,270183106,17,VILLAVERDE,LOS ANGELES,CALLE,VIRGEN DE LOS DESAMPARADOS,38,BAR JOSE LUIS,11,34
175,270057250,2,ARGANZUELA,DELICIAS,CALLE,FERROCARRIL,19,CAFETERIA FERROCARRIL,14,38
177,280017278,2,ARGANZUELA,CHOPERA,PLAZA,GENERAL MAROTO,1,RESTARAURANTE  O'PORTIÑO,26,104
179,280018318,2,ARGANZUELA,ACACIAS,CALLE,LAUREL,33,LA MARGHERITA,28,107
181,270299459,2,ARGANZUELA,IMPERIAL,CALLE,LINNEO,18,RESTAURANTE LA POTA DOURO,2,6
182,10003543,1,CENTRO,PALACIO,PLAZA,PUERTA DE MOROS,8,CAÑAS Y TAPAS,14,43
