id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,id_coordenadas,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
285020496,LATINA,PUERTA-DEL-ANGEL,155 AVENIDA PORTUGAL,155-AVENIDA-PORTUGAL,28011,437403.61,4473660.55,437403.61-4473660.55,Abierto,BAR,Anual,Abierta,"12,92",292,Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:30:00,10:00:00,0:30:00,4,4
100001049,LATINA,PUERTA-DEL-ANGEL,60 PASEO EXTREMADURA,60-PASEO-EXTREMADURA,28011,438031.61,4473865.55,438031.61-4473865.55,Abierto,"CAFETERIA, PANADERIA, PASTELERIA",Anual,Abierta,"7,5","7,5",Acera,10:00:00,1:00:00,21:00:00,0:00:00,10:00:00,21:00:00,21:00:00,0:00:00,2,2
270525122,LATINA,LAS-AGUILAS,3 CALLE GUAREÑA,3-CALLE-GUARENA,28044,435009.62,4471135.57,435009.62-4471135.57,Abierto,CERVECERIA GAMBRINUS ALUCHE,Anual,Abierta,38,38,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,11,11
20000844,ARGANZUELA,LEGAZPI,8 PASEO MOLINO,8-PASEO-MOLINO,28045,441194.58,4471247.52,441194.58-4471247.52,Abierto,LA TXASKA ETXEA,Anual,Abierta,"12,81","12,81",Zona de estacionamiento,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,8:00:00,23:00:00,4,4
20000605,ARGANZUELA,IMPERIAL,6 GLORIETA PIRAMIDES,6-GLORIETA-PIRAMIDES,28005,439316.59,4472540.53,439316.59-4472540.53,Abierto,CAFETERIA PIRAMIDES,Anual,Abierta,27,27,Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,10,10
20001935,ARGANZUELA,DELICIAS,2 CALLE ISIDORO ALVAREZ ALVAREZ,2-CALLE-ISIDORO-ALVAREZ-ALVAREZ,28045,441422.58,4471699.52,441422.58-4471699.52,Abierto,SMALL COFFE DRINK,Anual,Abierta,"17,28","17,28",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
285004392,ARGANZUELA,ACACIAS,3 GLORIETA PUERTA DE TOLEDO,3-GLORIETA-PUERTA-DE-TOLEDO,28005,439631.59,4473072.53,439631.59-4473072.53,Abierto,CERVECERÍA 100 MONTADITOS,Anual,Abierta,"81,18","81,18",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,22,22
20000182,ARGANZUELA,IMPERIAL,4 GLORIETA PUERTA DE TOLEDO,4-GLORIETA-PUERTA-DE-TOLEDO,28005,439566.59,4473090.53,439566.59-4473090.53,Cerrado,CAFÉ Y TÉ,Anual,Abierta,"91,93","91,93",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,27,27
20000446,ARGANZUELA,PALOS-DE-MOGUER,2 PASEO SANTA MARIA DE LA CABEZA,2-PASEO-SANTA-MARIA-DE-LA-CABEZA,28045,441117.58,4473170.52,441117.58-4473170.52,Abierto,BURGER KING,Anual,Abierta,"37,53","37,53",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,10,10
270218168,ARGANZUELA,PALOS-DE-MOGUER,23 PASEO SANTA MARIA DE LA CABEZA,23-PASEO-SANTA-MARIA-DE-LA-CABEZA,28045,441022.58,4472973.52,441022.58-4472973.52,Abierto,BAR EL SOTANILLO,Anual,Abierta,"19,44","19,44",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6
280018582,ARGANZUELA,ACACIAS,20 RONDA TOLEDO,20-RONDA-TOLEDO,28005,440032.59,4472979.53,440032.59-4472979.53,Abierto,MESON VALLE DEL JERTE,Anual,Abierta,"73,8","73,8",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,19,19
270263160,VILLAVERDE,LOS-ROSALES,2 CALLE JOSE DEL PINO,2-CALLE-JOSE-DEL-PINO,28021,441228.53,4466903.5,441228.53-4466903.5,Abierto,CERVECERIA RESTAURANTE LA PARADA,Anual,Abierta,"17,64","17,64",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,6
270481743,VICALVARO,CASCO-H.VICALVARO,23 CALLE CALAHORRA,23-CALLE-CALAHORRA,28032,447924.55,4473046.43,447924.55-4473046.43,Abierto,"BAR LA TUNA, CALAHORRA 23",Anual,Abierta,"12,75","12,75",Acera,8:00:00,1:00:00,8:00:00,0:00:00,8:00:00,2:30:00,8:00:00,0:00:00,4,0
270306989,SALAMANCA,GUINDALERA,2 CALLE BRESCIA,2-CALLE-BRESCIA,28028,443621.58,4476402.49,443621.58-4476402.49,Abierto,MEMPHIS COCKTAIL BAR,Anual,Abierta,"31,05","31,05",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,8
