id_local,desc_distrito_local,distritos_wikidata,desc_barrio_local,barrios_wikidata,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra,Latitud,Coordenadas finales,Longitud
180000366,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,9 CALLE CASTRILLO DE AZA,9_CALLE_CASTRILLO_DE_AZA,28031,"448357,53","448357,53-4470622,41","4470622,41",Abierto,EL JARDIN DEL BACO,Anual,Abierta,"97,56","97,56",Acera,10:00:00,1:00:00,8:00:00,0:00:00,10:00:00,2:30:00,8:00:00,0:00:00,24,24,40.3846688,"40.3846688,-3.6082587",-3.6082587
270324826,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,10 CALLE PUENTELARRA,10_CALLE_PUENTELARRA,28031,"448373,53","448373,53-4470489,41","4470489,41",Abierto,CERVECERIA LA TOMASA,Anual,Abierta,"48,6","48,6",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15,40.3832929,"40.3832929,-3.6084444",-3.6084444
270032503,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,8 CALLE PUENTELARRA,8_CALLE_PUENTELARRA,28031,"448410,53","448410,53-4470525,41","4470525,41",Abierto,BAR  LA HACIENDA,Anual,Abierta,"83,16","58,32",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,24,18,40.3839442,"40.3839442,-3.6079696",-3.6079696
270184841,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,7 CALLE PUENTELARRA,7_CALLE_PUENTELARRA,28031,"448430,53","448430,53-4470416,41","4470416,41",Abierto,CERVECERIA LA TORRE,Estacional,Abierta,27,"58,32",Acera,10:00:00,1:00:00,8:00:00,1:00:00,10:00:00,2:30:00,8:00:00,1:00:00,10,18,40.3826785,"40.3826785,-3.6077322",-3.6077322
270185092,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,6 CALLE FUENTESPINA,6_CALLE_FUENTESPINA,28031,"448569,53","448569,53-4470101,41","4470101,41",Abierto,EL JARDIN DE BACO II,Anual,Abierta,"44,38","44,38",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,17,17,40.3799453,"40.3799453,-3.6060704",-3.6060704
170000673,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,15 PASEO ALBERTO PALACIOS,15_PASEO_ALBERTO_PALACIOS,28021,"439620,54","439620,54-4466399,52","4466399,52",Abierto,D`YISA NAILS,Estacional,Abierta,"25,92","25,92",Calle peatonal,8:00:00,1:30:00,10:00:00,0:00:00,8:00:00,1:30:00,10:00:00,0:00:00,8,8,40.3459361,"40.3459361,-3.7108885",-3.7108885
270456985,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,83 PASEO ALBERTO PALACIOS,83_PASEO_ALBERTO_PALACIOS,28021,"439062,54","439062,54-4466077,52","4466077,52",Abierto,LAS BEGONIAS,Anual,Abierta,"99,12","45,75",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,25,12,40.3430242,"40.3430242,-3.7174781",-3.7174781
170000832,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,50 CALLE ARECHAVALETA,50_CALLE_ARECHAVALETA,28041,"440871,54","440871,54-4467123,51","4467123,51",Abierto,BAR CASA CONEL,Anual,Abierta,"37,08","37,08",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,4,4,40.3525051,"40.3525051,-3.696296",-3.696296
170001203,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,4 CALLE CANCHAL,4_CALLE_CANCHAL,28021,"442609,52","442609,52-4466445,49","4466445,49",Abierto,PASTELERIA PANADERIA CAFETERIA CHICO,Anual,Abierta,30,30,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,10,0,40.3463908,"40.3463908,-3.6760682",-3.6760682
170000724,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,39 PASEO ALBERTO PALACIOS,39_PASEO_ALBERTO_PALACIOS,28021,"439441,54","439441,54-4466238,52","4466238,52",Abierto,BAR LAS NIÑAS,Anual,Abierta,"10,08","10,08",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,7,7,40.3445856,"40.3445856,-3.7129706",-3.7129706
270181482,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,12 CALLE GRAFITO,12_CALLE_GRAFITO,28021,"439235,54","439235,54-4466441,52","4466441,52",Abierto,BAR MEZQUITA,Anual,Abierta,"31,86","31,86",Zona de estacionamiento,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,3,40.3461872,"40.3461872,-3.7155077",-3.7155077
170000308,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,45 CALLE ALCOCER,45_CALLE_ALCOCER,28021,"440117,54","440117,54-4466833,51","4466833,51",Abierto,BAR RENATO,Anual,Abierta,"98,81","98,81",Bulevar,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,22,22,40.3497618,"40.3497618,-3.7055715",-3.7055715
270020492,Villaverde,https://www.wikidata.org/wiki/Q919536,San Cristóbal,https://www.wikidata.org/wiki/Q390457,95 CALLE BENIMAMET,95_CALLE_BENIMAMET,28021,"441813,52","441813,52-4466134,5","4466134,5",Abierto,PEREZ CAFETERIA,Anual,Abierta,"19,44","10,8",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,6,40.343777,"40.343777,-3.6850876",-3.6850876
270539656,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,3 CALLE BERROCAL,3_CALLE_BERROCAL,28021,"442506,52","442506,52-4466515,49","4466515,49",Abierto,100 MONTADITOS,Anual,Abierta,"72,5","72,5",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21,40.3474728,"40.3474728,-3.6770211",-3.6770211
270183511,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,1 CALLE HERMANDAD DE DONANTES DE SANGRE,1_CALLE_HERMANDAD_DE_DONANTES_DE_SANGRE,28041,"440611,54","440611,54-4467373,51","4467373,51",Abierto,RESTAURANTE GALLARDO,Anual,Abierta,"51,84","51,84",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,16,40.3547921,"40.3547921,-3.6993111",-3.6993111
170000123,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,2 CALLE LA CANCION DEL OLVIDO,2_CALLE_LA_CANCION_DEL_OLVIDO,28041,"440699,55","440699,55-4468091,51","4468091,51",Abierto,ALQUEZAR LA BODEGA DE COTE,Anual,Abierta,72,72,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,20,20,40.3612623,"40.3612623,-3.6984203",-3.6984203
